state,2021gdp
Alabama,254110
Alaska,57349
Arizona,420027
Arkansas,148676
California,3373241
Colorado,436359
Connecticut,298395
Delaware,81160
Florida,1255558
Georgia,691627
Hawaii,91096
Idaho,96283
Illinois,945674
Indiana,412975
Iowa,216860
Kansas,191381
Kentucky,237182
Louisiana,258571
Maine,77963
Maryland,443930
Massachusetts,641332
Michigan,572206
Minnesota,412459
Mississippi,127308
Missouri,358572
Montana,58700
Nebraska,146285
Nevada,194487
New Hampshire,99673
New Jersey,682946
New Mexico,109583
New York,1901297
North Carolina,662121
North Dakota,63560
Ohio,756617
Oklahoma,215336
Oregon,272191
Pennsylvania,844496
Rhode Island,66571
South Carolina,269802
South Dakota,61685
Tennessee,427125
Texas,2051769
Utah,225340
Vermont,37104
Virginia,604958
Washington,677489
West Virginia,85434
Wisconsin,368611
Wyoming,41510
