,STALPBR,ASSET,STNAMEBR,2021gdp,ASSET_%,2021gdp_%
0,CA,5872941418224,California,3373241,17.50509677265161,14.650351114250505
1,TX,3150088504077,Texas,2051769,9.38926513640597,8.91105505219895
2,FL,3000189215736,Florida,1255558,8.942470019325723,5.45302441903977
3,NY,2808043279002,New York,1901297,8.369753048820403,8.257538854315815
4,NJ,1555315001667,New Jersey,682946,4.635826867207346,2.9661084672197817
5,IL,1370531206192,Illinois,945674,4.0850537551564665,4.107164634728953
6,AZ,1208265437521,Arizona,420027,3.6013986697063674,1.8242227660179917
7,WA,1027620388217,Washington,677489,3.0629616507784307,2.9424081250175895
8,MI,1001868380788,Michigan,572206,2.98620430722042,2.4851526498346317
9,GA,982408851770,Georgia,691627,2.928202547224435,3.003810990704706
10,OH,946161277322,Ohio,756617,2.820161745639526,3.2860696016118838
11,NC,917268397478,North Carolina,662121,2.7340426067459584,2.8756632360743444
12,VA,851044289434,Virginia,604958,2.5366526895920902,2.6273981341311683
13,PA,755686219835,Pennsylvania,844496,2.252425056875718,3.667737619274784
14,OR,601916281510,Oregon,272191,1.7940929436434712,1.1821550017146591
15,CO,567805738111,Colorado,436359,1.6924218523374395,1.895154411399374
16,MD,561136456325,Maryland,443930,1.672543155317622,1.9280360846287667
17,IN,531467990364,Indiana,412975,1.584112277030319,1.7935951660161846
18,CT,490231466696,Connecticut,298395,1.4612012370638474,1.2959618126119001
19,MA,472731993764,Massachusetts,641332,1.4090416895167694,2.7853743568290863
20,NV,438610503710,Nevada,194487,1.3073379702239307,0.8446781113941273
21,SC,414798330752,South Carolina,269802,1.2363625658544182,1.1717793158944214
22,LA,379958281488,Louisiana,258571,1.1325170835824871,1.1230018661467909
23,UT,336554434830,Utah,225340,1.0031460441071123,0.978676032956201
24,WI,321192066340,Wisconsin,368611,0.9573564255966819,1.6009175076951192
25,MN,310100759503,Minnesota,412459,0.9242972844115871,1.7913541221136136
26,AL,277540070958,Alabama,254110,0.8272457452636354,1.1036272598495618
27,TN,252059231735,Tennessee,427125,0.7512966552449787,1.8550501490033608
28,MO,248983211438,Missouri,358572,0.7421281604245572,1.5573170430867618
29,KY,245114208264,Kentucky,237182,0.7305960728126486,1.030107121898543
30,ID,216968487520,Idaho,96283,0.6467039427411826,0.4181675001381108
31,NM,194271072584,New Mexico,109583,0.5790512255336169,0.47593084103771793
32,IA,158619878920,Iowa,216860,0.4727880175928185,0.9418464742472786
33,OK,120224529691,Oklahoma,215336,0.3583454825816913,0.9352275771396844
34,KS,97847214929,Kansas,191381,0.2916468672668203,0.8311884168953168
35,NE,91580875569,Nebraska,146285,0.2729691946841016,0.6353316032706038
36,WV,80819362801,West Virginia,85434,0.24089304935777323,0.37104911777571703
37,SD,79829167570,South Dakota,61685,0.2379416384534031,0.26790463784904256
38,MT,75100080653,Montana,58700,0.2238459548371004,0.2549404594591684
39,AK,73387824112,Alaska,57349,0.21874234247059482,0.249072920094103
40,AR,72261092894,Arkansas,148676,0.21538396757745276,0.6457159753075181
41,DE,67751965559,Delaware,81160,0.2019439032658198,0.352486672737753
42,NH,66901134979,New Hampshire,99673,0.19940788756612032,0.43289063740500316
43,RI,66827020518,Rhode Island,66571,0.19918697938405808,0.28912506519005615
44,WY,46544325207,Wyoming,41510,0.13873166084001057,0.1802824271235107
45,ME,44728262412,Maine,77963,0.13331863988375853,0.33860175538015574
46,ND,43030994038,North Dakota,63560,0.128259701777576,0.2760479659833857
47,MS,40774288482,Mississippi,127308,0.12153328543319049,0.5529124363343749
48,VT,12240717367,Vermont,37104,0.03648511483719342,0.16114669178488897
49,HI,2552847716,Hawaii,91096,0.007609108133746106,0.3956397971872641
