STNAMEBR,0
California,7267
Texas,6808
Florida,5450
New York,5308
Illinois,4697
Pennsylvania,4477
Ohio,3879
New Jersey,3171
Michigan,2846
North Carolina,2571
Virginia,2537
Georgia,2526
Missouri,2373
Massachusetts,2227
Tennessee,2221
Indiana,2221
Wisconsin,2203
Washington,1832
Minnesota,1752
Kentucky,1724
Maryland,1669
Louisiana,1593
Iowa,1583
Colorado,1572
Alabama,1553
Kansas,1491
Arkansas,1388
Oklahoma,1381
South Carolina,1358
Arizona,1314
Connecticut,1259
Mississippi,1177
Nebraska,1090
Oregon,1065
West Virginia,661
Utah,575
Nevada,527
Idaho,520
New Mexico,510
Maine,499
South Dakota,462
New Hampshire,431
North Dakota,429
Montana,399
Puerto Rico,391
Hawaii,282
Delaware,278
Rhode Island,261
Vermont,251
District Of Columbia,235
Wyoming,230
Alaska,130
Guam,27
Virgin Islands Of The U.S.,22
Federated States Of Micronesia,8
Northern Mariana Islands,8
American Samoa,3
Palau,2
Marshall Islands,1
